NAME;URL;DATE;ABI;GRAMMAR_JSON;EXTERNAL_SCANNER;DOWNLOAD
ada;https://github.com/TamaMcGlinn/tree-sitter-ada;2022-06-25;13;true;false;false
ada;https://github.com/briot/tree-sitter-ada;2024-05-23;14;true;false;false
agda;https://github.com/tree-sitter/tree-sitter-agda;2024-11-11;14;true;true;false
angular;https://github.com/dlvandenberg/tree-sitter-angular;2025-07-22;15;true;true;false
apex;https://github.com/Ziemniakoss/tree-sitter-apex;2022-04-16;13;true;false;false
apex;https://github.com/jsuarez-chipiron/tree-sitter-apex;2023-05-12;13;true;false;false
apex;https://github.com/aheber/tree-sitter-sfapex;2025-02-12;14;true;false;false
arduino;https://github.com/tree-sitter-grammars/tree-sitter-arduino;2025-07-15;14;true;true;false
asciidoc;https://github.com/cathaysia/tree-sitter-asciidoc;2025-07-22;15;true;true;false
asciidoc_inline;https://github.com/cathaysia/tree-sitter-asciidoc;2025-07-22;15;true;true;false
asm;https://github.com/rush-rs/tree-sitter-asm;2025-03-09;14;true;false;false
astro;https://github.com/virchau13/tree-sitter-astro;2025-04-19;14;true;true;false
authzed;https://github.com/mleonidas/tree-sitter-authzed;2023-10-06;14;true;false;false
awk;https://github.com/Beaglefoot/tree-sitter-awk;2024-11-02;14;true;true;false
bash;https://github.com/tree-sitter/tree-sitter-bash;2025-06-04;15;true;true;false
bass;https://github.com/vito/tree-sitter-bass;2024-05-03;14;true;false;false
bazelrc;https://github.com/zaucy/tree-sitter-bazelrc;2024-04-01;14;true;false;false
beancount;https://github.com/zwpaper/tree-sitter-beancount;2022-03-01;13;true;false;false
beancount;https://github.com/yagebu/tree-sitter-beancount;2025-06-05;15;true;false;false
beancount;https://github.com/polarmutex/tree-sitter-beancount;2025-07-20;15;true;true;false
bibtex;https://github.com/latex-lsp/tree-sitter-bibtex;2025-04-19;15;true;false;false
bicep;https://github.com/tree-sitter-grammars/tree-sitter-bicep;2024-12-21;14;true;true;false
bison;https://gitlab.com/btuin2/tree-sitter-bison;2024-01-13;14;true;true;false
bitbake;https://github.com/tree-sitter-grammars/tree-sitter-bitbake;2024-04-27;14;true;true;false
blueprint;https://gitlab.com/gabmus/tree-sitter-blueprint.git;2025-07-08;14;true;false;false
bp;https://github.com/ambroisie/tree-sitter-bp;2025-04-02;15;true;false;false
brightscript;https://github.com/ajdelcimmuto/tree-sitter-brightscript;2025-07-17;14;true;false;false
c;https://github.com/tree-sitter/tree-sitter-c;2025-05-24;15;true;false;true
c3;https://github.com/zweimach/tree-sitter-c3;2024-02-17;14;true;false;false
c3;https://github.com/c3lang/tree-sitter-c3;2025-07-03;14;true;true;false
c_sharp;https://github.com/tree-sitter/tree-sitter-c-sharp;2025-02-14;14;true;true;false
caddy;https://github.com/opa-oz/tree-sitter-caddy;2025-01-26;14;true;true;false
cairo;https://github.com/JoranHonig/tree-sitter-cairo;2022-12-14;14;true;false;false
cairo;https://github.com/tree-sitter-grammars/tree-sitter-cairo;2024-04-27;14;true;true;false
capnp;https://github.com/tree-sitter-grammars/tree-sitter-capnp;2024-04-20;14;true;false;false
cedar;https://github.com/chrnorm/tree-sitter-cedar;2024-07-03;14;true;false;false
cel;https://github.com/bufbuild/tree-sitter-cel;2024-02-13;14;true;false;false
cfengine;https://github.com/olehermanse/tree-sitter-cfengine;2025-06-03;14;true;false;false
chatito;https://github.com/tree-sitter-grammars/tree-sitter-chatito;2025-07-20;15;true;false;false
chatl;https://github.com/tree-sitter-grammars/tree-sitter-chatito;2025-07-20;15;true;false;false
circom;https://github.com/Decurity/tree-sitter-circom;2024-09-09;14;true;false;false
clojure;https://github.com/sogaiu/tree-sitter-clojure;2025-06-27;14;true;false;false
cmake;https://github.com/uyha/tree-sitter-cmake;2025-05-23;14;true;true;false
cobol;https://github.com/Neppord/tree-sitter-cobol;2020-07-06;-;false;false;false
cobol;https://github.com/yutaro-sakamoto/tree-sitter-cobol;2024-12-17;14;true;true;false
comment;https://github.com/stsewd/tree-sitter-comment;2025-05-03;15;true;true;false
commonlisp;https://github.com/theHamsta/tree-sitter-commonlisp;2025-03-16;14;true;false;false
context;https://github.com/pmazaitis/tree-sitter-context_en;2024-08-13;14;true;true;false
cooklang;https://github.com/addcninblue/tree-sitter-cooklang;2024-05-03;14;true;true;false
core_schema;https://github.com/tree-sitter-grammars/tree-sitter-yaml;2025-05-28;14;true;false;false
corn;https://github.com/jakestanger/tree-sitter-corn;2024-06-16;14;true;false;false
cpon;https://github.com/tree-sitter-grammars/tree-sitter-cpon;2024-04-20;14;true;false;false
cpp;https://github.com/tree-sitter/tree-sitter-cpp;2025-07-07;14;true;true;false
cql;https://github.com/shotover/tree-sitter-cql;2024-05-09;14;true;false;false
cql;https://github.com/ricomariani/tree-sitter-cgsql;2025-03-08;-;false;false;false
crystal;https://github.com/will/tree-sitter-crystal;2021-09-02;13;true;false;false
crystal;https://github.com/keidax/tree-sitter-crystal;2024-12-22;14;true;true;false
css;https://github.com/tree-sitter/tree-sitter-css;2025-01-30;14;true;true;true
csv;https://github.com/tree-sitter-grammars/tree-sitter-csv;2024-04-27;14;true;false;false
cuda;https://github.com/tree-sitter-grammars/tree-sitter-cuda;2025-03-16;14;true;true;false
cue;https://github.com/eonpatapon/tree-sitter-cue;2025-02-03;14;true;true;false
cylc;https://github.com/elliotfontaine/tree-sitter-cylc;2025-06-06;14;true;false;false
d;https://github.com/gdamore/tree-sitter-d;2025-06-29;14;true;true;false
dart;https://github.com/UserNobody14/tree-sitter-dart;2025-02-28;14;true;true;false
desktop;https://github.com/ValdezFOmar/tree-sitter-desktop;2025-07-13;15;true;false;false
devicetree;https://github.com/joelspadin/tree-sitter-devicetree;2025-02-24;14;true;false;false
dhall;https://github.com/jbellerb/tree-sitter-dhall;2025-04-13;15;true;true;false
diff;https://github.com/vigoux/tree-sitter-diff;2020-09-29;12;true;false;false
diff;https://github.com/the-mikedavis/tree-sitter-diff;2025-01-05;14;true;false;false
disassembly;https://github.com/ColinKennedy/tree-sitter-disassembly;2023-12-02;14;true;true;false
djot;https://github.com/treeman/tree-sitter-djot;2025-02-28;14;true;true;false
dockerfile;https://github.com/camdencheek/tree-sitter-dockerfile;2025-01-12;14;true;true;false
dot;https://github.com/rydesun/tree-sitter-dot;2022-08-25;13;true;false;false
doxygen;https://github.com/tree-sitter-grammars/tree-sitter-doxygen;2024-06-09;14;true;true;false
dtd;https://github.com/tree-sitter-grammars/tree-sitter-xml;2025-06-03;14;true;true;false
earthfile;https://github.com/glehmann/tree-sitter-earthfile;2025-05-02;14;true;true;false
ebnf;https://github.com/RubixDev/ebnf;2023-02-06;14;true;false;false
editorconfig;https://github.com/ValdezFOmar/tree-sitter-editorconfig;2025-07-13;15;true;true;false
eds;https://github.com/uyha/tree-sitter-eds;2024-10-14;14;true;false;false
eex;https://github.com/connorlay/tree-sitter-eex;2022-01-12;13;true;false;false
